keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,seller_email,scraped_at,last_updated
electronics,MW-Festo Guide Rod Cylinder Dfm-25-30-B-Ppv-a-GF 8161423 Guided Drive/ Electric Actuator Esbf-BS-50-500-10p 8022601 F Esto/Compact Air Cylinder Dsbc-50-3,https://machine-win.en.made-in-china.com/product/otcRwKuCAnWk/China-MW-Festo-Guide-Rod-Cylinder-Dfm-25-30-B-Ppv-a-GF-8161423-Guided-Drive-Electric-Actuator-Esbf-BS-50-500-10p-8022601-F-Esto-Compact-Air-Cylinder-Dsbc-50-3.html,,Dfm-25-30-b-ppv-a-gf,72.75,USD,1.0,,"MW-Festo Guide Rod Cylinder Dfm-25-30-B-Ppv-a-GF 8161423 Guided Drive/ Electric Actuator Esbf-BS-50-500-10p 8022601 F Esto/Compact Air Cylinder Dsbc-50-3US$ 72.75-1105.8/ Piece1 Piece(MOQ)Shenzhen Leading International Trading Co., Ltd.Shenzhen Leading International Trading Co., Ltd.Gold MemberAudited SupplierGuangdong, ChinaView larger video & image","Shenzhen Leading International Trading Co., Ltd.",https://machine-win.en.made-in-china.com,,,Siemens Electric,"Guangdong, China","Xixiang Street, Jinhai Road, Shenzhen",,2025-08-15T12:19:49.228768,
electronics,Rockme Factory Price Electronic Cigarette 25000 Puffs PRO Rechargeable Max Wholesale 2% 5% Disposable Vape Pen,https://luckee.en.made-in-china.com/product/FZJazDgVXRek/China-Rockme-Factory-Price-Electronic-Cigarette-25000-Puffs-PRO-Rechargeable-Max-Wholesale-2-5-Disposable-Vape-Pen.html,,ROCKME,4.14,USD,200.0,,"Rockme Factory Price Electronic Cigarette 25000 Puffs PRO Rechargeable Max Wholesale 2% 5% Disposable Vape PenUS$ 4.14-4.57/ Piece200 Pieces(MOQ)Shenzhen Thunder Storm Technology Co., LtdShenzhen Thunder Storm Technology Co., LtdDiamond MemberAudited SupplierGuangdong, ChinaView larger video & image","Shenzhen Thunder Storm Technology Co., Ltd",https://luckee.en.made-in-china.com,,,Shenzhen Thunder Storm Technology Co.,"Shenzhen, China","201 Bldg B, Tongfuyu Industrial Park, No. 9",,2025-08-15T12:19:52.950983,
electronics,Custom Metal Waterproof EV Charger Enclosure EV Charger Case EV Charger Box,https://yfeger.en.made-in-china.com/product/vQyRqnKObEcY/China-Custom-Metal-Waterproof-EV-Charger-Enclosure-EV-Charger-Case-EV-Charger-Box.html,,ISO9001,0.1,USD,1.0,,"Custom Metal Waterproof EV Charger Enclosure EV Charger Case EV Charger BoxUS$ 0.1-99/ Piece1 Piece(MOQ)Cangzhou Yifeng Hardware Manufacturing Co., Ltd.Cangzhou Yifeng Hardware Manufacturing Co., Ltd.Diamond MemberAudited SupplierHebei, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, OthersView larger video & image","Cangzhou Yifeng Hardware Manufacturing Co., Ltd.",https://yfeger.en.made-in-china.com,,,Cangzhou Yfeger Hardware Manufacturing Co.,"Hebei, China","Musanbu Industrial Zone, Nanpi County, Cangzhou",,2025-08-15T12:19:57.251957,
electronics,Esmoo B10 5000 Puffs Unique LED Flashing Disposable Vabe E-Cigarette,https://stopsmoking.en.made-in-china.com/product/awgAPFUzhYeM/China-Esmoo-B10-5000-Puffs-Unique-LED-Flashing-Disposable-Vabe-E-Cigarette.html,,B10-04,2.5,USD,100.0,,"Esmoo B10 5000 Puffs Unique LED Flashing Disposable Vabe E-CigaretteUS$ 2.5-2.9/ Piece100 Pieces(MOQ)Dongguan Esmoo Technologies Co., Ltd.Dongguan Esmoo Technologies Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO45001:2018View larger video & image","Dongguan Esmoo Technologies Co., Ltd.",https://stopsmoking.en.made-in-china.com,,,"Post Sourcing Request













Dongguan Esmoo Technologies Co.","Guangdong, China","4th Floor, E Building, Fubao Home Furnishing Group",,2025-08-15T12:20:01.017245,
electronics,European Style Distribution System with Innovative Compact Transformer,https://chbebpower.en.made-in-china.com/product/jJuUSGOcHXRE/China-European-Style-Distribution-System-with-Innovative-Compact-Transformer.html,8537209000,ISO9001,50000.0,USD,1.0,,"European Style Distribution System with Innovative Compact TransformerUS$ 50000/ Piece1 Piece(MOQ)Beierbian Group Co., LtdBeierbian Group Co., LtdDiamond MemberAudited SupplierZhejiang, ChinaView larger video & image","Beierbian Group Co., Ltd",https://chbebpower.en.made-in-china.com,,,originated from Beijing Beierbian Transformer Group Co.,"Zhejiang, China","No. 211, Weishi Road, Yueqing Economic Development Zone",,2025-08-15T12:20:05.843398,
electronics,Premium Golden Triangle 11kv 3DElectronicsTransformer Core and Winding,https://goldentriangle.en.made-in-china.com/product/IbfnecqdZUHo/China-Premium-Golden-Triangle-11kv-3D-Electronics-Transformer-Core-and-Winding.html,8504210000,S-M,700.0,USD,1.0,,"Premium Golden Triangle 11kv 3DElectronicsTransformer Core and WindingUS$ 700-20000/ Piece1 Piece(MOQ)Golden Triangle Electric Power Technology Co., Ltd.Golden Triangle Electric Power Technology Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaManufacturer/Factory & Trading CompanyISO9001:2015View larger video & image5(4.0)""Fast Dispatch""Fast Dispatch","Golden Triangle Electric Power Technology Co., Ltd.",https://goldentriangle.en.made-in-china.com,4.0,4.0,Golden Triangle Electric Power Technology Co.,"system, China","No 66, Binhai Nansan Road, Yueqing Economic Development Zone",,2025-08-15T12:20:09.554716,
electronics,Amazing Taste Newest Original Disposable Electronic Cigarette Randm Pilot Vape 25000 20000 15000 Puffs Waka Disposable Vape Pen Pod 25000 Puff for Wholesale,https://pilotvape.en.made-in-china.com/product/SaHYrVKOAGkj/China-Amazing-Taste-Newest-Original-Disposable-Electronic-Cigarette-Randm-Pilot-Vape-25000-20000-15000-Puffs-Waka-Disposable-Vape-Pen-Pod-25000-Puff-for-Wholesale.html,5144030068,Pilot,4.2,USD,100.0,,"Amazing Taste Newest Original Disposable Electronic Cigarette Randm Pilot Vape 25000 20000 15000 Puffs Waka Disposable Vape Pen Pod 25000 Puff for WholesaleUS$ 4.2-4.8/ Piece100 Pieces(MOQ)Shenzhen FM Technology Co., Ltd.Shenzhen FM Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(5.0)""On-time Delivery""On-time Delivery","Shenzhen FM Technology Co., Ltd.",https://pilotvape.en.made-in-china.com,5.0,5.0,"Post Sourcing Request













Shenzhen FM Technology Co.","Guangdong, China","Shenzhen, Guangdong, China",,2025-08-15T12:20:14.491479,
electronics,Randm Fumot Digital Box 12000 Puffs Randm 12000 Disposable Puff 12K 20ml with Battery and Ejuice Display 40 Flavors,https://youyouweipu.en.made-in-china.com/product/fEkRQlUYxrpn/China-Randm-Fumot-Digital-Box-12000-Puffs-Randm-12000-Disposable-Puff-12K-20ml-with-Battery-and-Ejuice-Display-40-Flavors.html,8422901000,Randm,5.0,USD,100.0,,"Randm Fumot Digital Box 12000 Puffs Randm 12000 Disposable Puff 12K 20ml with Battery and Ejuice Display 40 FlavorsUS$ 5-5.8/ Piece100 Pieces(MOQ)Shenzhen Youyouweipu Technology Co., LtdShenzhen Youyouweipu Technology Co., LtdDiamond MemberAudited SupplierGuangdong, ChinaTrading CompanyView larger video & image5(2.4)""On-time Delivery""On-time Delivery","Shenzhen Youyouweipu Technology Co., Ltd",https://youyouweipu.en.made-in-china.com,,,,"Guangdong, China","Shenzhen, Guangdong, China",,2025-08-15T12:20:18.232410,
electronics,Most Popular China Wholesale Disposable Mini Electronic E Cigarette 15K Puffs Vaper,https://yemvape.en.made-in-china.com/product/oTzYKeqGnVhC/China-Most-Popular-China-Wholesale-Disposable-Mini-Electronic-E-Cigarette-15K-Puffs-Vaper.html,8543400000,TD15-313,3.0,USD,1.0,,"Most Popular China Wholesale Disposable Mini Electronic E Cigarette 15K Puffs VaperUS$ 3-4/ Piece1 Piece(MOQ)Shenzhen Yingmei Biotechnology Co., Ltd.Shenzhen Yingmei Biotechnology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(2.0)""Fantastic Service""Fantastic Service","Shenzhen Yingmei Biotechnology Co., Ltd.",https://yemvape.en.made-in-china.com,,,Shenzhen Yingmei Biotechnology Co.,"Guangdong, China","No. 2095 Bixin Road (Longgang Section), Nanlian Community, Longgang Street",,2025-08-15T12:20:21.782796,
electronics,Disposable E-Cigarette Hot Zooy Diamond 15000 Puffs 30K 25K 15K 10K Puff Vape Original EU Stock Dual Flavor High Puff Count EU Warehouse Wholesale Vape,https://sahiyoovapes02.en.made-in-china.com/product/rTuYpkRAvNho/China-Disposable-E-Cigarette-Hot-Zooy-Diamond-15000-Puffs-30K-25K-15K-10K-Puff-Vape-Original-EU-Stock-Dual-Flavor-High-Puff-Count-EU-Warehouse-Wholesale-Vape.html,8421219901,zooy,4.69,USD,20.0,,"CE certifiedvalid since 2025-01-24(contact issuer for current status)Disposable E-Cigarette Hot Zooy Diamond 15000 Puffs 30K 25K 15K 10K Puff Vape Original EU Stock Dual Flavor High Puff Count EU Warehouse Wholesale VapeUS$ 4.69-6/ Piece20 Pieces(MOQ)Chongqing Lifelike Tech Co., Ltd.Chongqing Lifelike Tech Co., Ltd.Diamond MemberAudited SupplierChongqing, ChinaTrading CompanyView larger video & image5(5.0)""Fast Delivery""Fast Delivery","Chongqing Lifelike Tech Co., Ltd.",https://sahiyoovapes02.en.made-in-china.com,5.0,5.0,Group,"Chongqing, China","Chongqing, China",,2025-08-15T12:20:26.279260,
electronics,Copy-Service Manufacturer OEM and ODMElectronicsMultilayer Printed Circuit Board PCBA Assembly Supplier Multilayer PCB,https://gzkevis.en.made-in-china.com/product/nTDpgZBuZMcO/China-Copy-Service-Manufacturer-OEM-and-ODM-Electronics-Multilayer-Printed-Circuit-Board-PCBA-Assembly-Supplier-Multilayer-PCB.html?ads_tp=ppc&ads_id=WJRQUInPzmkY,,Mother,0.1,USD,1.0,,"Copy-Service Manufacturer OEM and ODMElectronicsMultilayer Printed Circuit Board PCBA Assembly Supplier Multilayer PCBUS$ 0.1-1/ Piece1 Piece(MOQ)Guangzhou Kevis Electronic Technology Co., Ltd.Guangzhou Kevis Electronic Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image","Guangzhou Kevis Electronic Technology Co., Ltd.",https://gzkevis.en.made-in-china.com?ads_tp=ppc&ads_id=WJRQUInPzmkY,,,Guangzhou Kevis Electronic Technology Co.,"Guangdong, China","Room 601-3, Building D No. 7 Caipin Road, Science City",,2025-08-15T12:20:32.950144,
electronics,ElectronicsControl Board PCBA PCB Assembly Factory Provided Bom Gerber Files Service,https://gzkevis.en.made-in-china.com/product/aTiRCLvcHbhr/China-Electronics-Control-Board-PCBA-PCB-Assembly-Factory-Provided-Bom-Gerber-Files-Service.html?ads_tp=ppc&ads_id=WJRQUInPzmkY,,PCB-06,0.1,USD,1.0,,"CE certifiedvalid since 2024-12-20(contact issuer for current status)ElectronicsControl Board PCBA PCB Assembly Factory Provided Bom Gerber Files ServiceUS$ 0.1-1.5/ Piece1 Piece(MOQ)Guangzhou Kevis Electronic Technology Co., Ltd.Guangzhou Kevis Electronic Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image","Guangzhou Kevis Electronic Technology Co., Ltd.",https://gzkevis.en.made-in-china.com?ads_tp=ppc&ads_id=WJRQUInPzmkY,,,Guangzhou Kevis Electronic Technology Co.,"Guangdong, China","Room 601-3, Building D No. 7 Caipin Road, Science City",,2025-08-15T12:20:38.819208,
electronics,Full-Featured ISO13485 Printed CardElectronicsManufacturing and Circuit Assembly,https://pspcba.en.made-in-china.com/product/wrNYHkPZnAVU/China-Full-Featured-ISO13485-Printed-Card-Electronics-Manufacturing-and-Circuit-Assembly.html?ads_tp=ppc&ads_id=VmGxLkFUmQWn,,Special,0.1,USD,5.0,,"Full-Featured ISO13485 Printed CardElectronicsManufacturing and Circuit AssemblyUS$ 0.1-3/ Piece5 Pieces(MOQ)Ps Electronics Co., LtdPs Electronics Co., LtdDiamond MemberAudited SupplierGuangdong, ChinaTrading CompanyISO9001:2015, ISO14001View larger video & image5(3.0)""Awesome Customer Service""Awesome Customer Service","Ps Electronics Co., Ltd",https://pspcba.en.made-in-china.com?ads_tp=ppc&ads_id=VmGxLkFUmQWn,,,"Post Sourcing Request
















                                    Ps Electronics Co.","Guangdong, China","503, Yinjin Mansion, 71 Area",,2025-08-15T12:20:51.917915,
electronics,Custom PCB Assembly and Design Services forElectronics,https://pspcba.en.made-in-china.com/product/kdsAyqjTALaf/China-Custom-PCB-Assembly-and-Design-Services-for-Electronics.html?ads_tp=ppc&ads_id=VmGxLkFUmQWn,,Industrial,0.1,USD,1.0,,"Custom PCB Assembly and Design Services forElectronicsUS$ 0.1-5/ Piece1 Piece(MOQ)Ps Electronics Co., LtdPs Electronics Co., LtdDiamond MemberAudited SupplierGuangdong, ChinaTrading CompanyISO9001:2015, ISO14001View larger video & image5(3.0)""Perfect Service""Perfect Service","Ps Electronics Co., Ltd",https://pspcba.en.made-in-china.com?ads_tp=ppc&ads_id=VmGxLkFUmQWn,,,"Post Sourcing Request
















                                    Ps Electronics Co.","Guangdong, China","503, Yinjin Mansion, 71 Area",,2025-08-15T12:21:04.584680,
